11;Zutphen;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Zutphen&language=nl&p=1190105472304;"SRID=4326;POINT(6.193861 52.145002)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Zutphen;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Zutphen;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Zutphen
12;Borne;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Borne&language=nl&p=1190105472304;"SRID=4326;POINT(6.748315 52.298328)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Borne;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Borne;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Borne
13;Almelo de Riet;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Almelo+de+Riet&language=nl&p=1190105472304;"SRID=4326;POINT(6.666381 52.342227)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Almelo+de+Riet;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Almelo+de+Riet;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Almelo+de+Riet
14;Almelo;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Almelo&language=nl&p=1190105472304;"SRID=4326;POINT(6.655709 52.356838)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Almelo;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Almelo;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Almelo
15;Wierden;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Wierden&language=nl&p=1190105472304;"SRID=4326;POINT(6.591104 52.361390)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Wierden;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Wierden;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Wierden
16;Wierden;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Rijssen&language=nl&p=1190105472304;"SRID=4326;POINT(6.519176 52.311673)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Wierden;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Wierden;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Wierden
17;Holten;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Holten&language=nl&p=1190105472304;"SRID=4326;POINT(6.420832 52.283886)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Holten;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Holten;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Holten
18;Deventer Colmschate;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Deventer+Colmschate&language=nl&p=1190105472304;"SRID=4326;POINT(6.215293 52.249999)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Colmschate;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Colmschate;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Colmschate
19;Deventer;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Deventer&language=nl&p=1190105472304;"SRID=4326;POINT(6.160852 52.257217)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Deventer;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Deventer;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Deventer
20;Nijverdal;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Nijverdal&language=nl&p=1190105472304;"SRID=4326;POINT(6.470558 52.365550)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Nijverdal;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Nijverdal;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Nijverdal
21;Nijverdal West;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Nijverdal+West&language=nl&p=1190105472304;"SRID=4326;POINT(6.449298 52.367139)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Nijverdal+West;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Nijverdal+West;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Nijverdal+West
22;Raalte;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Raalte&language=nl&p=1190105472304;"SRID=4326;POINT(6.278175 52.391257)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Raalte;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Raalte;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Raalte
23;Heino;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Heino&language=nl&p=1190105472304;"SRID=4326;POINT(6.222216 52.426663)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Heino;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Heino;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Heino
24;Zwolle;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Zwolle&language=nl&p=1190105472304;"SRID=4326;POINT(6.090561 52.505267)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Zwolle;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Zwolle;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Zwolle
25;Vriezenveen;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Vriezenveen&language=nl&p=1190105472304;"SRID=4326;POINT(6.600270 52.401931)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Vriezenveen;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Vriezenveen;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Vriezenveen
26;Daarlerveen;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Daarlerveen&language=nl&p=1190105472304;"SRID=4326;POINT(6.575558 52.441387)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Daarlerveen;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Daarlerveen;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Daarlerveen
27;Vroomshoop;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Vroomshoop&language=nl&p=1190105472304;"SRID=4326;POINT(6.569662 52.457191)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Vroomshoop;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Vroomshoop;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Vroomshoop
28;Geerdijk;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Geerdijk&language=nl&p=1190105472304;"SRID=4326;POINT(6.567014 52.475277)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Geerdijk;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Geerdijk;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Geerdijk
29;Marienberg;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Marienberg&language=nl&p=1190105472304;"SRID=4326;POINT(6.574434 52.508885)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Marienberg;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Marienberg;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Marienberg
30;Ommen;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Ommen&language=nl&p=1190105472304;"SRID=4326;POINT(6.416944 52.509722)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Ommen;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Ommen;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Ommen
31;Dalfsen;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Dalfsen&language=nl&p=1190105472304;"SRID=4326;POINT(6.259410 52.498198)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Dalfsen;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Dalfsen;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Dalfsen
32;Wijhe;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Wijhe&language=nl&p=1190105472304;"SRID=4326;POINT(6.140011 52.389711)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Wijhe;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Wijhe;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Wijhe
33;Olst;http://www.ns.nl/cs/Satellite?pagename=NS2007/Generic/GetStation&POST_AUTOCOMPLETE=/reisplanner-v2/autocomplete.ajax&POST_VALIDATE=&SITESTAT_ELEMENTS=sitestatElements&station=Olst&language=nl&p=1190105472304;"SRID=4326;POINT(6.113334 52.335753)";http://m.ns.nl/planner.action?lang=nl&theme=modern&from=Olst;http://m.ns.nl/planner.action?lang=nl&theme=modern&to=Olst;http://m.ns.nl/actvertrektijden.action?lang=nl&theme=modern&from=Olst
